id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,centrocostogranja_centrocosto_codigo,genetica_codigo,ejercicio,escenario,lote_codigo,fechacolocacion,fechacosecha,cantidad,mortalidad,conversionalimenticia,pesoave,activobiologico,bloqueouser,bloqueoadmin
7fe26ad8-0910-47fb-a18d-34f8d6e41e53,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000004,2020,1121101003,COBB,2024,1,C-134,2024-10-29,2025-04-15,1100.0000,3.5000,24.1500,6.0000,,f,f
bb6371e4-1f9d-4fde-8239-026d067ad9c1,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000003,2020,1121101003,COBB,2024,1,C-134,2024-10-29,2025-04-15,8290.0000,3.5000,24.1500,6.0000,,f,f
212fb232-5235-4290-960e-c6af656242c1,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000003,2020,1121101002,COBB,2025,1,C-136,2025-02-04,2025-07-22,8300.0000,3.5000,24.1500,6.0000,,f,f
9c90e2b9-d47b-413b-a81e-d9b3ff57ef58,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000004,2020,1121101002,COBB,2025,1,C-136,2025-02-04,2025-07-22,1110.0000,3.5000,24.1500,6.0000,,f,f
241befd3-604a-4d90-851b-e5aec618956f,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000003,2020,1121101004,COBB,2025,1,C-139,2025-07-08,2025-12-23,8300.0000,3.5000,24.1500,6.0000,,f,f
e600f2da-8e43-45b7-a409-50b0cdcdf95a,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000004,2020,1121101004,COBB,2025,1,C-139,2025-07-08,2025-12-23,1110.0000,3.5000,24.1500,6.0000,,f,f
e5d37d18-587d-4349-a013-2a6311f3e478,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000004,2020,1121101001,HUBB,2024,1,H-133,2024-09-14,2025-03-01,1124.0000,4.2000,25.2000,6.0000,,f,f
3d81eb54-5c5b-4d0c-be27-44ad23c185a2,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000003,2020,1121101001,HUBB,2024,1,H-133,2024-09-14,2025-03-01,8290.0000,4.2000,25.2000,6.0000,,f,f
88fbf684-2575-4fc2-ad82-709af910bcfa,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000003,2020,1121101002,ROSS,2024,1,R-132,2024-07-24,2025-01-08,8300.0000,4.0000,24.9500,6.0000,,f,f
2a5a5fc6-fe1f-4f71-8ff6-91e10e5fc40d,2025-09-15 21:36:53.005,DEVELOPER,2025-09-15 21:36:53.005,DEVELOPER,14000004,2020,1121101002,ROSS,2024,1,R-132,2024-07-24,2025-01-08,1140.0000,4.0000,24.9500,6.0000,,f,f
