id,createdat,createdby,modifiedat,modifiedby,periodo1,periodo2,periodo3,periodo4,periodo5,periodo6,periodo7,periodo8,periodo9,periodo10,periodo11,periodo12,centrologistico_codigo,centrocosto_codigo,clasecosto,tipotarifa,ejercicio,escenario,bloqueouser,bloqueoadmin
20317120-fd5b-4448-b9b0-a43c2c7c5bf1,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,1049652.7351,1049652.7351,1052007.4265,1221412.1695,1258777.3991,1201381.2277,1201381.2277,1201381.2277,1201381.2277,1183162.4212,1166028.7269,1170773.3901,4000,1131600001,MAN_OBRA,Importe,2025,1,f,f
903d4da0-9494-4342-9b73-5dd69aec0e1d,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,19459.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000,1131600001,MAN_OBRA,Cantidad,2025,1,f,f
fb0f12f1-7e58-4754-b164-81a23047b8e6,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,53.9404,,,,,,,,,,,,4000,1131600001,MAN_OBRA,Tarifa,2025,1,f,f
e36ef117-13ef-4dfb-96ae-f01b50074b06,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,1618114.7391,1518312.0187,1613764.5297,1597092.4696,1904105.8172,1748728.5991,1706260.0873,1738453.5630,1751281.2434,1706105.4940,1754435.5617,1810186.7336,4000,1131600001,CARG_FAB,Importe,2025,1,f,f
d96346e3-5ff9-4f14-bcea-ca73583db2ae,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,19459.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000,1131600001,CARG_FAB,Cantidad,2025,1,f,f
58af7555-28fe-4cb0-8fa8-900baae2c076,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,83.1530,,,,,,,,,,,,4000,1131600001,CARG_FAB,Tarifa,2025,1,f,f
8491a64f-f642-4983-b3f6-74446ad71339,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,131602.8800,93292.4400,101006.7700,100253.0100,92889.9600,114853.4300,92632.2500,82801.3600,107433.4600,102346.6900,109169.4400,377116.8667,4000,1131100002,MAN_OBRA,Importe,2024,1,f,f
60769cc8-3998-40e3-9d68-24a4eea77bf8,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000,1131100002,MAN_OBRA,Cantidad,2024,1,f,f
f645f551-afd1-477b-ae51-9dc606872b4c,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,,,,,,,,,,,,,4000,1131100002,MAN_OBRA,Tarifa,2024,1,f,f
4d2889dc-f914-426b-8fb6-f6b6dbdc2b8e,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,169648.3600,129625.1700,138571.7100,154519.1200,136382.0300,135307.5400,140468.3400,162925.2200,171780.0200,152267.9000,144040.8700,185642.3158,4000,1131100002,CARG_FAB,Importe,2024,1,f,f
8e761783-52c8-4be6-b9c1-b9faeda14eab,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000,1131100002,CARG_FAB,Cantidad,2024,1,f,f
cb91bcee-0f55-48f6-800b-efc397e04909,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,,,,,,,,,,,,,4000,1131100002,CARG_FAB,Tarifa,2024,1,f,f
733ac5f3-d92e-4669-97ce-a36b4856cbee,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,165003.5497,165003.5497,165003.5497,172432.7458,178743.7858,172432.7458,172432.7458,172432.7458,172432.7458,172432.7458,172432.7458,180432.7458,1000,1132000002,MAN_OBRA,Importe,2025,1,f,f
a08c5e64-6d54-4cdf-87fe-69d4d0d92463,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,7818099.1709,7036436.0357,7794896.7903,7546108.4646,8742250.7189,8074278.1513,8437131.3400,8866674.4583,7674268.4243,9212825.9074,8798548.0722,8314809.6065,1000,1132000002,MAN_OBRA,Cantidad,2025,1,f,f
c020dbe3-1b20-4093-bf97-15b9fedcd5da,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,0.0211,0.0234,0.0212,0.0229,0.0204,0.0214,0.0204,0.0194,0.0225,0.0187,0.0196,0.0217,1000,1132000002,MAN_OBRA,Tarifa,2025,1,f,f
fdfb5900-2a08-4fa9-b705-ffd4463c2e2b,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,1023334.3856,945591.1398,1124067.0457,1222875.9688,1060287.3476,993958.1117,967373.6129,1089692.5866,994449.3696,1118198.2561,1036688.3245,1014661.7767,1000,1132000002,CARG_FAB,Importe,2025,1,f,f
6541cfab-7e69-4a09-803b-63d799ff4f97,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,7818099.1709,7036436.0357,7794896.7903,7546108.4646,8742250.7189,8074278.1513,8437131.3400,8866674.4583,7674268.4243,9212825.9074,8798548.0722,8314809.6065,1000,1132000002,CARG_FAB,Cantidad,2025,1,f,f
70c62c32-a4dd-40a6-93cb-668f78d82c9c,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,0.1309,0.1344,0.1442,0.1621,0.1213,0.1231,0.1147,0.1229,0.1296,0.1214,0.1178,0.1220,1000,1132000002,CARG_FAB,Tarifa,2025,1,f,f
a6ab1577-722f-47e4-893d-0a7ef2c111bf,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,1587.2000,1742.4600,594.6700,5722.4100,1587.5100,1292.1500,2252.0400,1919.7800,2270.5100,3451.9000,756.8400,0.0000,1001,1133000004,MAN_OBRA,Importe,2024,1,f,f
bcada5e3-8f97-4e41-a4ce-c0fa973ea930,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59000.0000,1001,1133000004,MAN_OBRA,Cantidad,2024,1,f,f
fca7404b-7f57-4737-86cf-84683192f6c7,2025-09-02 22:23:51.371,NMATAMOROS,2025-09-02 22:23:51.371,NMATAMOROS,,,,,,,,,,,,0.0000,1001,1133000004,MAN_OBRA,Tarifa,2024,1,f,f
