id,createdat,createdby,modifiedat,modifiedby,reqavicola_id,material_producto_codigo,material_centrologistico_codigo,clasificacion_id,numeroperiodo,cantidad,estimacionhuevo,escenario
4392ca21-300c-4ae3-8693-477fdb71b239,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,1,7237.9440,1313947.9115,1
57a99618-e489-46a3-a849-ef04685cf979,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,2,8876.5630,1313947.9115,1
14400930-b252-4183-abce-bf4fae949d95,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,3,4662.4500,1313947.9115,1
e19c28b7-2352-43c4-8174-f8bffdbd6b40,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,4,4589.9610,1313947.9115,1
ee10db29-9acc-4086-88b9-d985801e8dee,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,5,3051.8520,1313947.9115,1
6db3125c-31a1-45dd-8776-907ddc1c7e18,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,6,2978.7530,1313947.9115,1
98c02f06-dbad-4c2e-ba05-26f46a3d27e2,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,7,3975.9350,1313947.9115,1
6c445b02-8d4f-4112-921c-76254e5f946d,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,8,3414.9060,1313947.9115,1
c1585514-2fc0-4add-bd62-3ca0cd1226b4,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,9,2990.9130,1313947.9115,1
03bea052-d289-4450-b959-24c13dd19346,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000000,2120,5572afc9-071e-4b2c-ae83-f51clas0jumb,10,3008.5200,1313947.9115,1
984d01b5-8e6b-4072-aeaa-70ec2309500b,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000001,2120,5572afc9-071e-4b2c-ae83-f51clas0suci,1,488.0180,1313947.9115,1
2aeb4552-24d5-4858-8339-a07c83e9cbc3,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000001,2120,5572afc9-071e-4b2c-ae83-f51clas0suci,2,598.5020,1313947.9115,1
a2fc0aba-37fb-4fad-8763-16d427fd1440,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000001,2120,5572afc9-071e-4b2c-ae83-f51clas0suci,3,314.3660,1313947.9115,1
63b87f20-6fc3-43be-b627-543f9cb1b4e1,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000001,2120,5572afc9-071e-4b2c-ae83-f51clas0suci,4,309.4780,1313947.9115,1
5e6eb385-2c16-4f46-a7c8-597068076e97,2025-08-29 21:39:39.099,NMATAMOROS,2025-08-29 21:39:39.099,NMATAMOROS,5a3729ee-b356-451c-83a7-e8c7555a895d,17000001,2120,5572afc9-071e-4b2c-ae83-f51clas0suci,5,205.7710,1313947.9115,1
