id,createdat,createdby,modifiedat,modifiedby,periodo1,periodo2,periodo3,periodo4,periodo5,periodo6,periodo7,periodo8,periodo9,periodo10,periodo11,periodo12,centroemisor_codigo,centroreceptor_codigo,material_codigo,modo,ejercicio,escenario
25baba4a-aa49-41aa-b6c2-8e9140728e98,2025-09-01 20:59:04.789,NMATAMOROS,2025-09-01 20:59:04.789,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,600000.0000,4000,5000,19000007,MANUAL,2024,1
932e8235-3ebe-435a-8a8a-257eb0a20a4b,2025-09-01 20:59:04.789,NMATAMOROS,2025-09-01 20:59:04.789,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182895.2700,1001,1000,30000002,MANUAL,2024,1
f3cd6fb1-fadb-4176-b05e-7559c47339b4,2025-09-01 20:59:04.789,NMATAMOROS,2025-09-01 20:59:04.789,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50000.0000,1001,1000,30000001,MANUAL,2024,1
07a59e6d-c3d0-4c54-94b0-9c5b0eac98a5,2025-09-01 20:59:04.789,NMATAMOROS,2025-09-01 20:59:04.789,NMATAMOROS,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000,5000,19000007,MANUAL,2025,1
743ebe20-bef5-458c-a2db-7de067c6805b,2025-09-01 20:59:04.789,NMATAMOROS,2025-09-01 20:59:04.789,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45000.0000,6000,2300,16000000,MANUAL,2024,1
5fe048ec-1917-4c20-8394-2838292a7ac0,2025-09-16 23:00:05.251,NMATAMOROS,2025-09-16 23:00:05.251,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1001,1000,30000002,AUTO,2025,1
26b479cd-32b3-4a10-83ac-caa16fc89b4b,2025-09-16 23:00:05.793,NMATAMOROS,2025-09-16 23:00:05.793,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,6000,2020,18000300,AUTO,2024,1
3996cca3-d30b-49a8-993e-5621b7f472da,2025-09-16 23:00:05.84,NMATAMOROS,2025-09-16 23:00:05.84,NMATAMOROS,3.0000,0.0000,3.0000,0.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,3.0000,6000,2020,18000070,AUTO,2025,1
cbd0ceb9-d311-43ee-8c88-0782d4230fc8,2025-09-16 23:00:05.976,NMATAMOROS,2025-09-16 23:00:05.976,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,6000,2020,18000070,AUTO,2024,1
5159ca53-2bef-4688-bf63-91d7ef537ee9,2025-09-01 20:59:04.789,NMATAMOROS,2025-09-01 20:59:04.789,NMATAMOROS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,6010,2020,18000320,MANUAL,2024,1
