id,createdat,createdby,modifiedat,modifiedby,unidadproductiva_codigo,centrologistico_codigo,lote_codigo,materialprincipal_codigo,materialsecundario_codigo,genetica_codigo,ejercicio,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,bloqueouser,bloqueoadmin,escenario
c366f2ea-f9aa-479c-a8c3-0c32f4401564,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,POS,2120,R-132,14000005,14000005,ROSS,2025,23821.0000,31541.0000,31289.0000,38757.0000,30722.0000,30470.0000,37733.0000,29902.0000,29650.0000,36708.0000,7294.0000,0.0000,,,1
6c6d77c1-449f-4b7e-9c44-c68656b2e2ad,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,DES,2020,H-133,14000004,18000007,HUBB,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0000,,,1
7a8a907a-d1b7-4c92-aef6-84e1cb441c87,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2613,PAV-545,16000001,12000022,ELCO,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60211.6867,,,1
423af265-aa71-4ed4-81e0-e7cd5007008f,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2404,PAV-055,16000001,12000003,ELCO,2025,0.0000,0.0000,0.0000,0.0000,36139.8417,24093.2278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
495cc730-9c96-4e79-8f70-eea3c33ae893,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,POS,2120,R-137,14000004,18000051,ROSS,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000.0000,1000.0000,,,1
15f6e60e-a8e7-48a0-b117-fe5783588192,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,DES,2020,C-139,14000003,12000005,COBB,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11605.7656,34817.2966,23211.5310,0.0000,0.0000,,,1
4951ae3a-a7a0-4690-b674-8aab7b6591cb,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,POS,2120,C-134,14000005,18000302,COBB,2026,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
bb4429c3-8842-4057-bea5-50e322e78d9c,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,DES,2020,C-139,14000004,18000051,COBB,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000.0000,0.0000,0.0000,0.0000,,,1
39a99ab2-6a1d-405f-874c-600e23a8e23e,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2302,PAV-456,16000001,12000001,ELCO,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18506.8590,1850.6859,0.0000,0.0000,0.0000,,,1
cf9ee41f-ba40-4199-a843-ef714665298d,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2610,PAV-421,16000001,12000023,ELCO,2025,0.0000,16453.8592,65815.4368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
0d04450a-499d-4af9-a1aa-1c06a6333964,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2614,PAV-623,16000001,12000024,ELCO,2025,39903.8210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
25735b87-3580-4624-ab5d-72ad94e84fcf,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2614,PAV-288,16000001,12000022,ELCO,2025,54593.4496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
082a6527-a27c-40d8-80b1-3c3affeb026a,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,DES,2020,C-136,14000003,14000003,COBB,2025,0.0000,24828.0000,32933.0000,40895.0000,32498.0000,32304.0000,32112.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
2f3dbc4e-59d7-4ee1-8329-b02bf44c0e5c,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2613,PAV-299,16000001,12000021,ELCO,2025,0.0000,21154.9617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
1897812f-720f-4e7f-9497-cecf40d837d0,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,DES,2020,C-139,14000003,14000003,COBB,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24828.0000,32933.0000,40895.0000,32498.0000,32304.0000,32112.0000,,,1
ef482cf4-95d4-470a-a3e4-4d45fca7f34a,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2609,PAV-413,16000001,12000023,ELCO,2025,82269.2960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
eb776172-7f54-4b9c-b030-0f6ed010691f,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,ENG,2609,PAV-601,16000001,12000024,ELCO,2025,0.0000,0.0000,41134.6480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
f422bd25-bb2f-4679-ab0a-86490ff0e82b,2025-09-02 21:05:11.942,NMATAMOROS,2025-09-02 21:05:11.942,NMATAMOROS,DES,2020,C-139,14000004,18000110,COBB,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,1
