createdat,createdby,modifiedat,modifiedby,codigo,descripcion,plancuenta_codigo,observacionnota,indicadorcuenta,opcional,bloqueouser,bloqueoadmin,escenario,ejercicio
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCINDBAS,Indicadores Base,,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSGMEDP,Seguro Médico (Productivo),6230505001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSGMEDO,Seguro Médico (Operativo),7111510001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSUSAPP,Sueldos Y Salarios Permanentes (Productivo) (Mano de Obra Directa),6120505001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSUSATP,Sueldos Y Salarios Temporales (Productivo) (Mano de Obra Directa),6120505002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONSUSAPPI,Sueldos Y Salarios Permanentes (Productivo) (Mano de Obra Indirecta),6220505001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONSUSATPI,Sueldos Y Salarios Temporales (Productivo) (Mano de Obra Indirecta),6220505002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSUSAPO,Sueldos Y Salarios Permanentes,7110505001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSUSATO,Sueldos Y Salarios Temporales,7110505002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCCUMPLP,Bonificaciones Por Cumplimiento (Productivo) (Mano de Obra Directa),6120515001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCUMPLPI,Bonificaciones Por Cumplimiento (Productivo) (Mano de Obra Indirecta),6220515001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCCUMPLO,Bonificaciones Por Cumplimiento,7110515001,,GTONOMIN,f,f,f,0,
