id,empleado_codigo,tipo_codigo,valores
cccfc68c-070a-46d5-890c-699bc39ae0f4,10001,BonoCumplimiento,"[3970,0,0,1,3970]"
2efe8ec6-57af-4895-baed-aa1aa0e0c110,10001,SeguroMedico,"[602,602]"
749905fb-96b7-413b-85f7-d3f935276373,10001,AporteAFP,[5]
5330bc1e-7619-4751-b8fb-7efffe49ea05,10003,BonoCumplimiento,"[1250,0,0,1,1250]"
bef694a7-250f-4413-8630-21803be874e5,10003,SeguroMedico,"[0,0]"
6c810d66-19de-4c2a-abc4-b62b590eb34f,10003,AporteAFP,[3]
f3688f80-034b-45e4-a7f6-b713457e8eb3,10007,BonoCumplimiento,"[900,0,0,1,900]"
b07bd85b-b8e1-4498-b749-99e8818ff751,10007,SeguroMedico,"[0,0]"
a784f4c7-114e-4d58-9422-115a5d00592f,10007,AporteAFP,[5]
267ebe64-103d-4d21-8f9b-dfe3cad62791,10008,BonoCumplimiento,"[900,0,0,1,900]"
9b6a2dba-ecda-479a-a4c2-45489cd147c2,10008,SeguroMedico,"[0,0]"
94afcdc1-7ae8-4c35-88ac-e6f04f087afb,10008,AporteAFP,[3]
c3e205b4-6bf8-4b3b-a8b8-ec9338dc4bb2,10011,BonoCumplimiento,"[1500,0,0,1,1500]"
35370790-719d-4f8a-9185-0790a5c8d934,10011,SeguroMedico,"[0,0]"
f8ec97d3-9831-4fcc-9f9b-840c901a8939,10011,AporteAFP,[3]
82dacb89-fab2-427e-856c-b19b0e82d283,10013,BonoCumplimiento,"[1500,0,0,1,1500]"
a7032159-b336-49a2-86d1-ada61e51b1a4,10013,SeguroMedico,"[0,0]"
fc980439-9361-4192-96bc-c4c780c91ed6,10013,AporteAFP,[3]
f9001e53-e6ad-4ce0-bd02-c19813d98191,10027,BonoCumplimiento,"[3970,0,0,1,3970]"
287fb794-1cb0-49f0-becf-a4204e195249,10027,SeguroMedico,"[602,602]"
176d62d4-1d63-43bc-a8d9-8bf7af01f5de,10027,AporteAFP,[3]
ed3b0998-28d6-4cbb-9b0a-9cfbe93a3722,10029,BonoCumplimiento,"[3970,0,0,1,3970]"
cd07635b-c3b6-43a2-bef8-02e729cc335e,10029,SeguroMedico,"[602,602]"
72d18e39-cd95-439c-9cc4-0f19349ee5fd,10029,AporteAFP,[3]
d9f06e01-2043-4e87-bd45-7792f558f34e,10033,BonoCumplimiento,"[3970,0,0,1,3970]"
44da950d-4980-4def-9187-cff1745846ed,10033,SeguroMedico,"[602,602]"
9c02b178-0713-47eb-8fbf-92fb90939dc7,10033,AporteAFP,[3]
568123ee-aeff-4f74-9467-33000cce3c68,10036,BonoCumplimiento,"[3970,0,0,1,3970]"
756532b3-7e44-4cf1-a6c4-2e492d901a77,10036,SeguroMedico,"[602,602]"
1b9e5276-d7f6-4956-9ee7-469e07a36502,10036,AporteAFP,[5]
