id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,ejercicio,escenario,moneda_code,preciop1,preciop2,preciop3,preciop4,preciop5,preciop6,preciop7,preciop8,preciop9,preciop10,preciop11,preciop12,bloqueouser,bloqueoadmin,historico,preciosmaterial_id
542ca5f5-5e27-44b1-8a20-c58c85c4c2af,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000137,5003,2025,1,HNL,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,30.2500,30.2500,31.5300,32.0000,32.0000,32.0000,f,f,f,cedf183c-dfd8-411c-8012-a7cd5885a00e
25c5702a-6c59-4c02-8f1b-e9c9093ed140,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000137,5001,2025,1,USD,0.0000,0.0000,0.0000,0.0000,1.3266,1.2888,1.2100,1.2448,1.3200,1.2800,1.2800,1.2800,f,f,f,87f147ed-4d0a-4c74-9b20-47204c6c85f7
66ff32e9-8943-4f36-8a4c-5e8505b8a4bb,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000137,5001,2025,1,HNL,0.0000,0.0000,0.0000,0.0000,33.0000,32.0600,30.2500,31.1200,33.0000,32.0000,32.0000,32.0000,f,f,f,87f147ed-4d0a-4c74-9b20-47204c6c85f7
7d14f1ed-0338-439c-a505-a6904cde16bc,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000138,5002,2025,1,USD,0.0000,1.3266,0.0000,1.3266,0.0000,1.3266,0.0000,0.0000,0.0000,0.0000,0.0000,1.2800,f,f,f,ac46969a-3f8a-4187-b342-3c925eaaf2ef
7735866d-ec8c-4171-9777-bbffa62e1c53,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000138,5002,2025,1,HNL,0.0000,33.0000,0.0000,33.0000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,f,f,f,ac46969a-3f8a-4187-b342-3c925eaaf2ef
a57880e5-7bf0-462a-b807-785cb7a65409,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000138,5003,2025,1,USD,1.3266,1.3576,1.3266,1.3266,1.3266,1.3266,1.2100,1.2100,1.2100,1.2800,1.2800,1.2800,f,f,f,af68df12-84f0-4f4b-901b-9367774341dc
4c993727-a7ae-4d97-9daa-a8e0fa15059a,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000138,5003,2025,1,HNL,33.0000,33.7700,33.0000,33.0000,33.0000,33.0000,30.2500,30.2500,30.2500,32.0000,32.0000,32.0000,f,f,f,af68df12-84f0-4f4b-901b-9367774341dc
d24da6a7-8766-4cea-9d73-2a0ebb17f625,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,24000138,5000,2025,1,USD,1.3266,1.3266,1.3266,1.3266,1.3250,1.3013,1.2332,1.2100,1.2100,1.2800,1.2800,1.2800,f,f,f,3bf4c1d0-58c1-4af0-8bfc-5c40439200a7
03193bad-7ab5-4473-ba5f-c7ce82cd2f52,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000000,1000,2025,1,USD,0.2191,0.2191,0.2191,0.2211,0.2211,0.2211,0.2220,0.2220,0.2220,0.2240,0.2240,0.2240,f,f,f,8aa76c7f-bc45-4a4e-a532-3cce7e493f37
7004d124-aef2-4628-8fab-801b9d634b55,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000000,1000,2025,1,HNL,5.4500,5.4500,5.4500,5.5000,5.5000,5.5000,5.5500,5.5500,5.5500,5.6000,5.6000,5.6000,f,f,f,8aa76c7f-bc45-4a4e-a532-3cce7e493f37
c53174e2-f581-49fe-95b3-4c8772ac47bc,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000002,1000,2025,1,USD,0.1741,0.1737,0.1749,0.1749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,f,f,f,e5b7f953-bdb6-43de-9ec8-5f2a526dfdf7
555615ce-0158-4fdd-9742-a39e2b7a46e1,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000002,1000,2025,1,HNL,4.3300,4.3200,4.3500,4.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,f,f,f,e5b7f953-bdb6-43de-9ec8-5f2a526dfdf7
5383c2d5-f418-4c0c-9b39-a9a78a96439d,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000004,1000,2025,1,USD,0.0366,0.0370,0.0362,0.0366,0.0366,0.0366,0.0364,0.0344,0.0364,0.0364,0.0364,0.0364,f,f,f,184cbb5b-2684-4d39-bf85-f3e5de5915ac
bb7958bc-78cc-4564-ae2b-6a368aea19a8,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000004,1000,2025,1,HNL,0.9100,0.9200,0.9000,0.9100,0.9100,0.9100,0.9100,0.8600,0.9100,0.9100,0.9100,0.9100,f,f,f,184cbb5b-2684-4d39-bf85-f3e5de5915ac
ad722c88-8f29-49c9-949b-85e12348d72b,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000006,1000,2025,1,USD,1.3439,0.0000,1.3596,1.3145,0.0000,1.2144,1.3724,1.3988,1.2200,1.5876,1.3640,1.4100,f,f,f,f2e6459b-4265-4649-9d7d-152928b96c81
