id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,centrocosto_codigo,mensaje,tipohojaruta,grupohojaruta,contador,cantidadbase,fechainicivalidez,nodo,operacion,idobjeto,textobreveop,cantidadbaseop,claseactividad1,unvalorprefijado1,datoprefijado1,claseactividad2,unvalorprefijado2,datoprefijado2,claseactividad3,unvalorprefijado3,datoprefijado3,relevacalculocosto,puestotrabajo,centroob,unimedidaoperacion,historico
2c97bd35-1915-426d-9840-eddd9ebb5880,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000000,1000,1132000002,,N,50000039,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
abd039ac-cd0a-4575-bab1-e9607508a266,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000000,1000,1132000003,,N,50000039,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
66b8e6ce-5cde-41ce-abc4-48ab196211f2,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000001,1000,1132000002,,N,50000040,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
f7316d87-ce3b-4ee0-a469-88630f83f452,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000001,1000,1132000003,,N,50000040,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
2a3288ee-fe8e-40c2-a483-169ad85d8911,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000002,1000,1132000002,,N,50000041,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
3c395ba4-c0fb-4de1-a44f-7d9bb7e5af99,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000002,1000,1132000003,,N,50000041,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
e439be2b-ae50-46b0-bfa2-790b279c9bcf,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000003,1000,1132000002,,N,50000042,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
3aa1deea-0bc3-47fb-a4c9-c18f9d694baf,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000003,1000,1132000003,,N,50000042,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
73816ad6-c142-408c-a431-752cfbe91d55,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000004,1000,1132000002,,N,50000043,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
2fb24a2a-55fc-45ad-b78b-7ca9ca2e8d31,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000004,1000,1132000003,,N,50000043,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
5f265f2a-e6d1-4029-9668-59224f74a137,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000005,1000,1132000002,,N,50000044,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
c0d6e923-5b45-4149-b197-3e701747d099,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000005,1000,1132000003,,N,50000044,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
aa29d6ff-c1b2-470c-adb9-564ffeefea0d,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000006,1000,1132000002,,N,50000045,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
68e8cac5-c9da-46e1-958c-86ce6a4f15cd,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000006,1000,1132000003,,N,50000045,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
cc5b95f9-8bb6-4e61-acf9-4cbddf4964cf,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000007,1000,1132000002,,N,50000046,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
5096e16f-e587-4955-b283-d54b94c2b009,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000007,1000,1132000003,,N,50000046,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
189b6ec6-9098-4589-bc0e-6332f7cb8599,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000008,1000,1132000002,,N,50000047,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
e4f9f0b0-b2a4-4158-b976-3d8eb32b9440,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000008,1000,1132000003,,N,50000047,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
fabb1416-8a7b-426f-8096-ca30fc26a5e3,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000009,1000,1132000002,,N,50000048,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
1c614540-3a2a-4b97-813a-3fd6a31db6f0,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000009,1000,1132000003,,N,50000048,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
1c9531b4-c6d0-4313-ad22-e14e0faf7e04,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000010,1000,1132000002,,N,50000049,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
7456c7e2-3f1f-4e89-b5ef-35b5552b2726,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000010,1000,1132000003,,N,50000049,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
156ad1bd-58f1-4d0c-a38e-f709a2dad7f8,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000011,1000,1132000002,,N,50000050,00000000,100.000,20160101,00000001,0010,10000000,Molienda y Mezclado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,MOLMEZ,1000,QQI,t
8915738c-f791-418c-b459-ae8a8c091858,2025-08-27 22:33:16.238,DBULNES,2025-08-27 22:33:16.238,DBULNES,12000011,1000,1132000003,,N,50000050,00000000,100.000,20160101,00000002,0020,10000001,Ensacado,50.0000,"","",1.0000,"",HRA,0.0000,"","",0.0000,X,SACO,1000,QQI,t
