id,periodo1,periodo2,periodo3,periodo4,periodo5,periodo6,periodo7,periodo8,periodo9,periodo10,periodo11,periodo12,parametro_codigo,ejercicio
43d4bd7c-d04d-4731-b671-b760ea4a7368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3000.0000,VTMPSERV10,2025
11213f14-6147-4f7b-9c38-8644a2ef468e,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3500.0000,VTMPSERV15,2025
7fc1e008-f81c-468e-8145-d2ed6ca96371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000.0000,VTMPSERV20,2025
71446ffa-f332-435d-8ff7-da30160e0ef4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4500.0000,VTMPSERV25,2025
3157323f-261b-4676-b5f2-1ab97b5b8c7f,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,VTMPSERV30,2025
acfe3951-4ade-4928-9302-5c6e37cfff13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6000.0000,VTMPSERV40,2025
4d0e5bd4-9cb8-4fcd-a7a5-08c1490c249a,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,PIVMEMPLEA,2025
34472c85-4fc1-482d-95c6-cf76edf04bf2,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,PSASEMPLEA,2025
be633af1-ec34-4cf2-9e7d-6c525e7c5855,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,PAPORINFOP,2025
13e510bb-2888-473a-b47f-fd9649610ea0,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,PSEGUVIDA1,2025
19b66965-3409-4a3b-8cd6-0dd359ce8496,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,PSEGUVIDA2,2025
e9b5cb4e-0182-441c-9819-fd57f0d76f03,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,PDECTERCER,2025
e5640a39-2bcb-467a-a495-dd517c527953,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,PDECCUARTO,2025
6aec3565-b548-4aef-ae6c-b6a5b003ef44,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,12950.0000,VSMANOACTU,2024
063b9e7b-c21a-4d6b-8ab3-f09f87e30867,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,11235.0100,VSMGRANACT,2024
e097a117-f629-4e0c-af63-b6917c61a547,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PINCRESAMI,2024
f6964087-2dc2-4b97-aae6-a594d2c5072f,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PINCRESUSA,2024
9cbb1d39-e1a0-4409-9486-4054019d6eb9,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PINCRESMGR,2024
86d05925-0ff5-4210-8443-03b2d8223f9f,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3000.0000,VTMPSERV10,2024
b9765562-2b2b-43c1-8d85-6b1950f5ef6a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3500.0000,VTMPSERV15,2024
fd099226-ab76-4bae-ab09-00d5e27495a3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000.0000,VTMPSERV20,2024
e243fc5e-c9e7-4ae0-b10d-7742e93612ea,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4500.0000,VTMPSERV25,2024
af490ee7-103a-4c10-9dd1-287201c2eafb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,VTMPSERV30,2024
930c638e-5e17-45bc-9715-04a628c06866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6000.0000,VTMPSERV40,2024
77aa63b1-7dba-4e53-bf47-4b3c6ea8bf6e,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1771.0000,0.0000,0.0000,0.0000,0.0000,0.0000,VALBONOEGR,2024
20229b9d-de8f-4245-9776-21e2d66a4691,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,PIVMEMPLEA,2024
b0079d69-dfb4-419a-9f7c-a2913507b7e1,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,11336.3200,TIVMEMPLEA,2024
924267c9-3da5-4107-9132-d3be0c28550d,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,PSASEMPLEA,2024
4716b0bd-dffc-4090-8ec3-accb9eb86332,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,11109.3000,TSASEMPLEA,2024
ad10f8f4-998d-4db4-acf3-10334ae1027f,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,PFACTPROVI,2024
6e44686b-9636-4d39-a399-2f50b2eab3d1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,PAPORINFOP,2024
26bf2d8f-da53-4f1f-90f4-511c2763fcf1,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,PAPORTERAP,2024
3c42bea2-379a-45c4-976d-cc79e2338fdb,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,PSEGUVIDA1,2024
fabe2703-f9a6-49e1-aeca-39e38ac30c16,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,PSEGUVIDA2,2024
92c06225-8d5e-43b3-9443-15c3e925406b,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,PDECTERCER,2024
56926475-b87a-4eff-8687-0d15ae78a92d,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,PDECCUARTO,2024
4fc7b0c1-fb11-430b-990b-07bebd518ce4,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,PARAPSOLID,2024
65db1140-03d5-4786-813a-af9ff8b134e1,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,PARAPSOLID,2025
5f818b73-f5bf-4e1c-9780-32a52dc0d21d,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,MAXDECRELA,2024
a6e1708a-b2f2-4c0f-ad64-65de00e8e1b0,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,MAXDECRELA,2025
d53c8735-9b51-4c4f-a439-aef739594121,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,16856.2500,VSMBBANCOS,2024
22834f9b-a26f-4f12-8fd0-7bc4e95da9bf,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,TIVMEMPLEA,2025
3406d562-c6ad-4004-885d-3524de1ebf68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2068.6800,0.0000,0.0000,0.0000,0.0000,0.0000,VALBONOESC,2024
ffd960f1-171f-4296-813a-8d114b8d8b7d,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,MESASEGMED,2024
5deca999-1e7a-4c12-b4ad-a2b9d282ef15,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,MESASEGMED,2025
1a739c43-4ffd-48f6-be10-7273fd43f2f1,0.0000,0.0000,0.0000,0.0000,1870.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,VALBONOEGR,2025
ea1d6b6b-f12e-401d-b489-29b04e2f544f,0.0000,0.0000,0.0000,0.0000,2103.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,VALBONOESC,2025
7908a000-4ed8-49a9-9df7-a2c39401d6d3,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PINCRESAMI,2025
e6532d0a-13b0-4068-b8c0-d2858326ca5c,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PINCRESMGR,2025
15e691b7-8ef0-4774-86d8-6dc6d2a4c04d,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,11903.1300,TSASEMPLEA,2025
6cca55b9-cbf5-4f7d-b06c-68d0c313cc80,0.0000,0.0000,0.0000,5.7500,5.7500,5.7500,5.7500,5.7500,5.7500,5.7500,5.7500,5.7500,PFACTPROVI,2025
b24a3a98-d3ff-4a9e-aa4f-726742f33ee2,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,13476.0000,VSMGRANACT,2025
c148e4e8-39c2-48bc-8336-de9be6f6e0e8,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PINCRESUSA,2025
4c1b98a4-a08e-49c7-8fe7-2c792e67baf4,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,18036.1900,VSMBBANCOS,2025
4c346454-d089-4c4e-9677-24c9f88f8b32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PAPORTERAP,2025
9712dbf7-dbde-4900-98da-5f41196dc0d7,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,17558.0000,VSMANOACTU,2025
